"CVE","analfabeta","sin_primaria","sin_drenaje","sin_electricidad","sin_agua_entubada","con_hacinamiento","con_piso_tierra","habitantes_5000","salarios_minimos"
10014,28.65,49.46,38.33,65.8,68.05,67.06,45.69,100,70.35
10015,5.57,29.62,10,1.85,0.73,35.43,5.8,100,57.24
10016,4.37,27.56,8.83,1.36,1.99,33.01,7.72,71.32,57.42
10017,5.49,26.31,6.77,7.17,7.6,24.61,4.93,100,71.35
10018,3.84,27.01,8.04,1.72,6.26,23.6,4.01,48.07,55.81
10019,8.71,36.41,32.99,32.98,28.69,58,28.26,100,83.84
10020,4.3,28.02,7.03,1.04,2.75,30.92,4.51,100,56.01
10021,5.24,26.92,9.23,2.56,17.88,35.87,6.05,49.67,60.29
10022,4.6,27.45,5.33,1.15,0.32,31.51,4.52,56.85,61.68
10023,6.64,24.53,16.8,22.01,21.29,54.16,20.71,50.69,51.29
10024,4.02,25.29,8.56,2.58,1.61,36.37,2.88,100,63.39
10025,6.68,39.25,24.04,7.11,21.79,23.19,5.78,100,78.2
10026,5.61,30.08,15.19,23.48,16.68,46.41,15.95,73.98,55.17
10027,8.14,37.5,6.34,3.32,19.88,37.35,3.56,100,81.54
10028,5.02,30.24,9.93,1.4,3.14,33.96,7.23,100,61.2
10029,6.05,32.51,5.91,2.03,0.83,33.09,0.79,100,70.38
10030,4.22,31.62,8.04,2.29,3.9,27.65,1.82,100,76.53
10031,4.4,30.98,9.69,1.1,0.54,35.09,12.58,100,80.38
10032,4.68,25.99,10.02,8.75,11.24,33.22,9.64,41.91,49.89
10033,8.67,32.6,13.61,9.85,4.53,34.92,12.68,100,66.04
10034,10.85,36.11,33.46,21.02,64.39,59.38,34.25,100,72.72
10035,7.87,37.32,21.53,15.9,21.5,29.92,11.14,100,51.86
10036,4.9,24.94,5.41,1.06,2.46,35.03,7.54,57.22,52.82
10037,7.73,35.47,19.88,38.74,24.83,46.98,24.36,100,45.57
10038,3.83,21.58,2.35,1.02,0.73,30.19,5.61,24.32,61.31
10039,3.91,30.05,5.75,0.89,6.41,33.55,3.33,58.32,57.25
11001,11.81,34.48,12.35,1.63,4.31,45.16,3.57,67.52,67.07
11002,10.87,28.65,4.34,1.18,2.4,31.91,2.32,41.37,56.1
11003,12,29.23,18.84,3.67,9.78,42.26,6.19,56.47,42.77
11004,11.49,31.21,10.06,2.2,2.19,42.04,4.57,56.56,52.68
11005,10.29,26.31,5.81,1.55,6.29,41.6,3.86,63.36,48.72
11006,19.95,40.75,27.7,10.32,47.81,44.19,7.04,100,66.42
11007,5.45,16.49,1.2,0.98,2.66,29.53,5.97,20.25,33.47
11008,13.24,37.76,14.68,3,3.74,39.58,3.16,62.43,62.01
11009,12.5,30.37,16.92,3.21,12.32,47.9,10.52,52.35,51.56
11010,12.44,34.69,10.67,2.6,1.84,36.53,2.44,100,64.21
11011,7.9,23.85,3.74,0.95,2.14,36.43,7.49,30.25,41.67
11012,11.84,31.11,6.87,2.17,1.74,38.82,4.61,48.92,63.5
11013,16.28,34,17.51,2.89,0.67,49.51,3.62,77.96,61.56
11014,11.92,32.26,18.37,4.17,5.41,46.07,8.56,60.02,56.71
11015,5.21,16.92,6.12,1.95,10.16,33.33,2.6,31.86,28.81
11016,9.23,33.7,5.11,1.22,0.81,39.97,1.93,72.64,66.99
11017,6.25,18.5,3.26,0.76,2.21,34.69,3.64,24.56,34.2
11018,9.41,25.99,3.23,1.09,0.36,36.88,2.91,44.08,54.75
11019,17.48,39.89,25.74,3.22,11.84,41.12,2.64,84.76,79.51
11020,5.11,17.83,1.05,0.79,7.1,31.8,2.84,8.22,26.01
11021,7.42,25.82,2.06,0.3,1.05,25.22,1.55,12.49,39.55
11022,13.44,39.08,15.79,5.53,7.48,43.04,3.43,71.35,67.74
11023,11.54,34.23,13.3,2.09,5.7,39.48,4.14,66.57,57.41
11024,13.09,34.7,7.49,1.07,1.03,36.32,1.82,100,61.58
11025,7.02,28.16,1.95,1.18,1.29,47.11,2.63,36.75,28.85
11026,11.34,35.6,8.41,1.19,1.99,45.82,4.93,62.62,62.51
11027,7.36,19.77,3.13,0.54,2.33,29.83,2.78,29.36,37.77
11028,11.96,32.18,4.12,1.15,2.43,34.53,4.94,45.36,59.63
11029,14.91,38.82,31.53,3.07,3.01,46.27,6.61,80.82,70.01
11030,13.32,35.16,24.71,3.68,15.54,49.2,5.28,67.88,60.44
11031,8.14,26.36,5.49,0.6,2.56,38.27,2.67,37.36,30.48
11032,9.98,24.83,9.51,2.11,1.8,42.9,5.16,67.59,38.09
11033,12.83,31.22,16.08,3.56,6.86,47.47,9,51.04,54.15
11034,18.73,35.99,18.49,10.71,7.06,41.33,4.42,100,57.86
11035,12.26,32.78,8.53,1.75,3.67,44.94,9.25,38.41,64.6
11036,16.41,39.44,2.18,0.38,0.36,28.65,3.03,100,64.3
11037,8.74,25.6,6.16,1.34,9.89,46.24,3.81,53.85,44.94
11038,10.4,31.08,5.52,2.64,2.26,34.28,2.6,47.96,65.54
11039,13.65,37.33,5.19,1.35,2.03,34.02,5.21,65.74,58.36
