x,y,species avg
618.0,618.0,0.26756075
619.0,619.0,0.4426171
620.0,620.0,0.073998585
621.0,621.0,0.0038843958
622.0,622.0,0.28409526
623.0,623.0,0.6472591
624.0,624.0,0.14314005
625.0,625.0,0.019112892
626.0,626.0,0.27274027
627.0,627.0,0.65563774
628.0,628.0,0.034816794
629.0,629.0,0.44284686
630.0,630.0,0.268315
631.0,631.0,0.6909155
632.0,632.0,0.44634125
633.0,633.0,0.123115405
634.0,634.0,0.4652007
635.0,635.0,0.7288678
636.0,636.0,0.09821537
637.0,637.0,0.031885337
638.0,638.0,0.17059651
639.0,639.0,0.52428395
640.0,640.0,0.28556964
641.0,641.0,0.12248103
642.0,642.0,0.40092534
643.0,643.0,0.005241065
644.0,644.0,0.46202853
645.0,645.0,0.5378592
646.0,646.0,0.48234582
647.0,647.0,0.4866982
648.0,648.0,0.1996674
649.0,649.0,0.35699368
650.0,650.0,0.52211475
651.0,651.0,0.19450304
652.0,652.0,0.42167914
653.0,653.0,0.010564484
654.0,654.0,0.18468298
655.0,655.0,0.19881238
656.0,656.0,0.24616808
657.0,657.0,0.15891787
658.0,658.0,0.04366383
659.0,659.0,0.60992885
660.0,660.0,0.10535066
661.0,661.0,0.0071178176
662.0,662.0,0.059855025
663.0,663.0,0.6052818
664.0,664.0,0.025583686
665.0,665.0,0.18798134
666.0,666.0,0.5936583
667.0,667.0,0.3628205
668.0,668.0,0.37609413
669.0,669.0,0.3454016
670.0,670.0,0.009239291
671.0,671.0,0.12841132
672.0,672.0,0.31820154
673.0,673.0,0.004847646
674.0,674.0,0.28704152
675.0,675.0,0.08169285
676.0,676.0,0.10881719
677.0,677.0,0.009608937
678.0,678.0,0.25375903
679.0,679.0,0.30040827
680.0,680.0,0.09512346
681.0,681.0,0.19381219
682.0,682.0,0.1861997
683.0,683.0,0.6333486
684.0,684.0,0.07879919
685.0,685.0,0.28166807
686.0,686.0,0.2549279
687.0,687.0,0.40528378
688.0,688.0,0.3414634
689.0,689.0,0.108069345
690.0,690.0,0.0071673268
691.0,691.0,0.15503836
692.0,692.0,0.022340043
693.0,693.0,0.11449281
694.0,694.0,0.11387539
695.0,695.0,0.69959354
696.0,696.0,0.33415
697.0,697.0,0.111110725
698.0,698.0,0.5518699
699.0,699.0,0.007539001
700.0,700.0,0.11444938
701.0,701.0,0.5452331
702.0,702.0,0.037782945
703.0,703.0,0.1536108
704.0,704.0,0.2642816
705.0,705.0,0.3693878
706.0,706.0,0.03280435
707.0,707.0,0.00914015
708.0,708.0,0.0044476413
709.0,709.0,0.049280595
710.0,710.0,0.39837432
711.0,711.0,0.017282322
712.0,712.0,0.04722243
713.0,713.0,0.08500151
714.0,714.0,0.70000845
715.0,715.0,0.17769517
716.0,716.0,0.3026298
717.0,717.0,0.01224814
718.0,718.0,0.09782932
719.0,719.0,0.010888416
720.0,720.0,0.11027779
721.0,721.0,0.18754342
722.0,722.0,0.470049
723.0,723.0,0.45005208
724.0,724.0,0.0072822254
725.0,725.0,0.29426432
726.0,726.0,0.5618668
727.0,727.0,0.5946619
728.0,728.0,0.6017698
729.0,729.0,0.2721222
730.0,730.0,0.4134446
731.0,731.0,0.012434541
732.0,732.0,0.62091786
733.0,733.0,0.08994135
734.0,734.0,0.4227469
735.0,735.0,0.6316065
736.0,736.0,0.4089942
737.0,737.0,0.4709296
738.0,738.0,0.09272774
739.0,739.0,0.48049152
740.0,740.0,0.080852985
741.0,741.0,0.0051764594
742.0,742.0,0.4386514
743.0,743.0,0.3965937
744.0,744.0,0.48531842
745.0,745.0,0.1701667
746.0,746.0,0.21326399
747.0,747.0,0.4565675
748.0,748.0,0.08238457
749.0,749.0,0.003974978
750.0,750.0,0.09235721
751.0,751.0,0.54359925
752.0,752.0,0.45281258
753.0,753.0,0.010756566
754.0,754.0,0.008895896
755.0,755.0,0.5074841
756.0,756.0,0.007524624
757.0,757.0,0.38539883
758.0,758.0,0.53331214
759.0,759.0,0.018291708
760.0,760.0,0.06539362
761.0,761.0,0.16175291
762.0,762.0,0.5729554
763.0,763.0,0.11819734
764.0,764.0,0.21043761
765.0,765.0,0.2217651
766.0,766.0,0.45011032
767.0,767.0,0.10032789
768.0,768.0,0.3787039
769.0,769.0,0.6117729
770.0,770.0,0.1071668
771.0,771.0,0.30961183
772.0,772.0,0.43107805
773.0,773.0,0.285776
774.0,774.0,0.47755662
775.0,775.0,0.16543683
776.0,776.0,0.096411206
777.0,777.0,0.49990234
778.0,778.0,0.56401855
779.0,779.0,0.028415676
780.0,780.0,0.20309186
781.0,781.0,0.012557862
782.0,782.0,0.6353733
783.0,783.0,0.53459376
784.0,784.0,0.57827216
785.0,785.0,0.06777482
786.0,786.0,0.6479986
787.0,787.0,0.43952066
788.0,788.0,0.27477252
789.0,789.0,0.1343855
790.0,790.0,0.11250035
791.0,791.0,0.61791885
792.0,792.0,0.20723672
793.0,793.0,0.4586748
794.0,794.0,0.09666243
795.0,795.0,0.007469027
796.0,796.0,0.57174844
797.0,797.0,0.0017522256
798.0,798.0,0.4243546
799.0,799.0,0.11908999
800.0,800.0,0.005557465
801.0,801.0,0.4154547
802.0,802.0,0.04389157
803.0,803.0,0.34380478
804.0,804.0,0.0342619
805.0,805.0,0.47070277
806.0,806.0,0.4462562
807.0,807.0,0.007977043
808.0,808.0,0.090866014
809.0,809.0,0.22189628
810.0,810.0,0.5344782
811.0,811.0,0.010070981
812.0,812.0,0.2502609
813.0,813.0,0.6142636
814.0,814.0,0.11763596
815.0,815.0,0.5284289
816.0,816.0,0.108867146
817.0,817.0,0.0119464295
818.0,818.0,0.4349061
819.0,819.0,0.39485973
820.0,820.0,0.33321607
821.0,821.0,0.16644423
822.0,822.0,0.077544294
823.0,823.0,0.4613521
824.0,824.0,0.36730734
825.0,825.0,0.009796365
826.0,826.0,0.11570085
827.0,827.0,0.5098234
828.0,828.0,0.3590489
829.0,829.0,0.693701
830.0,830.0,0.17961228
831.0,831.0,0.13264507
832.0,832.0,0.038437914
833.0,833.0,0.028714608
834.0,834.0,0.57009435
835.0,835.0,0.45863152
836.0,836.0,0.47611925
837.0,837.0,0.14472088
838.0,838.0,0.060931325
839.0,839.0,0.4244786
840.0,840.0,0.15470204
841.0,841.0,0.0046665333
842.0,842.0,0.06577439
843.0,843.0,0.39976308
844.0,844.0,0.18966438
845.0,845.0,0.07607602
846.0,846.0,0.08050229
847.0,847.0,0.5274655
848.0,848.0,0.13082454
849.0,849.0,0.08048584
850.0,850.0,0.09918927
851.0,851.0,0.46443278
852.0,852.0,0.17673512
853.0,853.0,0.3704766
854.0,854.0,0.014394104
855.0,855.0,0.12248671
856.0,856.0,0.44722983
857.0,857.0,0.44718027
858.0,858.0,0.04054033
859.0,859.0,0.24838728
860.0,860.0,0.03503032
861.0,861.0,0.5104451
862.0,862.0,0.5377731
863.0,863.0,0.15737073
864.0,864.0,0.5411558
865.0,865.0,0.6179569
866.0,866.0,0.42051312
867.0,867.0,0.5911424
868.0,868.0,0.39774147
869.0,869.0,0.0054155556
870.0,870.0,0.3256449
871.0,871.0,0.04048143
872.0,872.0,0.023101486
873.0,873.0,0.48673978
874.0,874.0,0.41725582
875.0,875.0,0.17663474
876.0,876.0,0.41941476
877.0,877.0,0.23284404
878.0,878.0,0.4982979
879.0,879.0,0.2343352
880.0,880.0,0.61539114
881.0,881.0,0.0053995093
882.0,882.0,0.20140772
883.0,883.0,0.61190784
884.0,884.0,0.6340422
885.0,885.0,0.24974959
886.0,886.0,0.17912659
887.0,887.0,0.3750857
888.0,888.0,0.50312734
889.0,889.0,0.70811474
890.0,890.0,0.06328131
891.0,891.0,0.15775259
892.0,892.0,0.54003567
893.0,893.0,0.0055691097
894.0,894.0,0.1759997
895.0,895.0,0.5017062
896.0,896.0,0.5703765
897.0,897.0,0.0807428
898.0,898.0,0.02355332
899.0,899.0,0.14434974
900.0,900.0,0.5101463
901.0,901.0,0.007809183
902.0,902.0,0.19098541
903.0,903.0,0.37111637
904.0,904.0,0.0077583324
905.0,905.0,0.5477888
906.0,906.0,0.022378266
907.0,907.0,0.4174928
908.0,908.0,0.04192334
909.0,909.0,0.016261468
910.0,910.0,0.5585169
911.0,911.0,0.33028904
912.0,912.0,0.6617219
913.0,913.0,0.44839054
914.0,914.0,0.023342203
915.0,915.0,0.4375929
916.0,916.0,0.61702347
917.0,917.0,0.013527157
918.0,918.0,0.56377494
919.0,919.0,0.012108858
920.0,920.0,0.5213936
921.0,921.0,0.11325966
922.0,922.0,0.052228894
923.0,923.0,0.4512831
924.0,924.0,0.23647727
925.0,925.0,0.10874759
926.0,926.0,0.5949844
927.0,927.0,0.20459211
928.0,928.0,0.09612519
929.0,929.0,0.012116672
930.0,930.0,0.4575898
931.0,931.0,0.2173991
932.0,932.0,0.061987784
933.0,933.0,0.41918612
934.0,934.0,0.5370905
935.0,935.0,0.0027012702
936.0,936.0,0.48182905
937.0,937.0,0.48205867
938.0,938.0,0.04877971
939.0,939.0,0.46245956
940.0,940.0,0.11610058
941.0,941.0,0.3050204
942.0,942.0,0.0100972215
943.0,943.0,0.47593892
944.0,944.0,0.37474293
945.0,945.0,0.08090322
