x,y,species_0 logistic values
586.0,586.0,0.35347047
587.0,587.0,0.11714613
588.0,588.0,0.19100122
589.0,589.0,0.037573114
590.0,590.0,0.32785174
591.0,591.0,0.5111081
592.0,592.0,0.60695827
593.0,593.0,0.0073808436
594.0,594.0,0.02585228
595.0,595.0,0.09118873
596.0,596.0,0.5342235
597.0,597.0,0.033044346
598.0,598.0,0.7234129
599.0,599.0,0.0033228523
600.0,600.0,0.24768566
601.0,601.0,0.27036425
602.0,602.0,0.28514388
603.0,603.0,0.41037646
604.0,604.0,0.5388093
605.0,605.0,0.09156345
606.0,606.0,0.14007922
607.0,607.0,0.0614002
608.0,608.0,0.7052221
609.0,609.0,0.38773254
610.0,610.0,0.045479633
611.0,611.0,0.012996198
612.0,612.0,0.0053417557
613.0,613.0,0.5426082
614.0,614.0,0.43248963
615.0,615.0,0.018036386
616.0,616.0,0.0059185815
617.0,617.0,0.14227054
618.0,618.0,0.28532127
619.0,619.0,0.45454475
620.0,620.0,0.09542613
621.0,621.0,0.004132353
622.0,622.0,0.308849
623.0,623.0,0.63841987
624.0,624.0,0.08583813
625.0,625.0,0.019986996
626.0,626.0,0.24856992
627.0,627.0,0.65633416
628.0,628.0,0.036136843
629.0,629.0,0.47708336
630.0,630.0,0.23349595
631.0,631.0,0.6597308
632.0,632.0,0.45229688
633.0,633.0,0.1341599
634.0,634.0,0.4408202
635.0,635.0,0.73759615
636.0,636.0,0.09007038
637.0,637.0,0.048560034
638.0,638.0,0.14781533
639.0,639.0,0.53734165
640.0,640.0,0.31879592
641.0,641.0,0.14376795
642.0,642.0,0.35231248
643.0,643.0,0.0054743257
644.0,644.0,0.489194
645.0,645.0,0.5725917
646.0,646.0,0.5214017
647.0,647.0,0.48930922
648.0,648.0,0.13726631
649.0,649.0,0.31954074
650.0,650.0,0.5269681
651.0,651.0,0.15666935
652.0,652.0,0.40923154
653.0,653.0,0.011949786
654.0,654.0,0.24600068
655.0,655.0,0.19603887
656.0,656.0,0.1303657
657.0,657.0,0.16766228
658.0,658.0,0.031987097
659.0,659.0,0.6071045
660.0,660.0,0.1295143
661.0,661.0,0.0075865546
662.0,662.0,0.07121159
663.0,663.0,0.6283479
664.0,664.0,0.026757171
665.0,665.0,0.178407
666.0,666.0,0.5692151
667.0,667.0,0.31502336
668.0,668.0,0.3656685
669.0,669.0,0.336075
670.0,670.0,0.014190673
671.0,671.0,0.13782513
672.0,672.0,0.29090124
673.0,673.0,0.006300979
674.0,674.0,0.35940278
675.0,675.0,0.02721991
676.0,676.0,0.10419952
677.0,677.0,0.009094603
678.0,678.0,0.21780567
679.0,679.0,0.32522443
680.0,680.0,0.12587145
681.0,681.0,0.20962752
682.0,682.0,0.082123585
683.0,683.0,0.6148311
684.0,684.0,0.12611371
685.0,685.0,0.21912165
686.0,686.0,0.25032568
687.0,687.0,0.38604262
688.0,688.0,0.3124101
689.0,689.0,0.12234807
690.0,690.0,0.007483742
691.0,691.0,0.15622804
692.0,692.0,0.01941525
693.0,693.0,0.12603074
694.0,694.0,0.07410957
695.0,695.0,0.72811264
696.0,696.0,0.31871834
697.0,697.0,0.13410486
698.0,698.0,0.55374324
699.0,699.0,0.008016569
700.0,700.0,0.1455932
701.0,701.0,0.58206457
702.0,702.0,0.03645855
703.0,703.0,0.18666784
704.0,704.0,0.19009428
705.0,705.0,0.37701157
706.0,706.0,0.03318948
707.0,707.0,0.009474651
708.0,708.0,0.00493143
709.0,709.0,0.045958757
710.0,710.0,0.40077192
711.0,711.0,0.022289474
712.0,712.0,0.050016753
713.0,713.0,0.05975839
714.0,714.0,0.72205615
715.0,715.0,0.18611795
716.0,716.0,0.36906806
717.0,717.0,0.015835296
718.0,718.0,0.10770778
719.0,719.0,0.015207741
720.0,720.0,0.14997461
721.0,721.0,0.18963575
722.0,722.0,0.46244815
723.0,723.0,0.4534094
724.0,724.0,0.009908722
725.0,725.0,0.31405103
726.0,726.0,0.54276454
727.0,727.0,0.59352416
728.0,728.0,0.63389736
729.0,729.0,0.32070997
730.0,730.0,0.46909425
731.0,731.0,0.013385176
732.0,732.0,0.6007379
733.0,733.0,0.07462175
734.0,734.0,0.41252998
735.0,735.0,0.63232785
736.0,736.0,0.40485707
737.0,737.0,0.4730273
738.0,738.0,0.10654878
739.0,739.0,0.46947116
740.0,740.0,0.07404146
741.0,741.0,0.005420227
742.0,742.0,0.45422506
743.0,743.0,0.3854124
744.0,744.0,0.46024185
745.0,745.0,0.16074261
746.0,746.0,0.21913438
747.0,747.0,0.48874265
748.0,748.0,0.0837157
749.0,749.0,0.0033286521
750.0,750.0,0.05761429
751.0,751.0,0.55230576
752.0,752.0,0.43034744
753.0,753.0,0.011518735
754.0,754.0,0.007218814
755.0,755.0,0.4947195
756.0,756.0,0.0066498825
757.0,757.0,0.41938633
758.0,758.0,0.5384015
759.0,759.0,0.020858368
760.0,760.0,0.07880378
761.0,761.0,0.0606174
762.0,762.0,0.45860472
763.0,763.0,0.116746604
764.0,764.0,0.17581859
765.0,765.0,0.1995514
766.0,766.0,0.45684388
767.0,767.0,0.115329035
768.0,768.0,0.4560364
769.0,769.0,0.63193506
770.0,770.0,0.11672789
771.0,771.0,0.33539435
772.0,772.0,0.45716456
773.0,773.0,0.26003796
774.0,774.0,0.49821398
775.0,775.0,0.16783573
776.0,776.0,0.10148286
777.0,777.0,0.4884677
