x,y,species median
521.0,521.0,0.42624137
522.0,522.0,0.12161816
523.0,523.0,0.17756951
524.0,524.0,0.5012378
525.0,525.0,0.5347834
526.0,526.0,0.51280785
527.0,527.0,0.08852384
528.0,528.0,0.02035202
529.0,529.0,0.18051024
530.0,530.0,0.28194532
531.0,531.0,0.044359785
532.0,532.0,0.17917654
533.0,533.0,0.19631879
534.0,534.0,0.52568793
535.0,535.0,0.03916543
536.0,536.0,0.23818187
537.0,537.0,0.47143152
538.0,538.0,0.3427018
539.0,539.0,0.628575
540.0,540.0,0.5428364
541.0,541.0,0.33143616
542.0,542.0,0.51111907
543.0,543.0,0.525359
544.0,544.0,0.46127224
545.0,545.0,0.44698477
546.0,546.0,0.39887217
547.0,547.0,0.16103265
548.0,548.0,0.19412847
549.0,549.0,0.48596546
550.0,550.0,0.4583693
551.0,551.0,0.106760345
552.0,552.0,0.4446772
553.0,553.0,0.56943154
554.0,554.0,0.2584789
555.0,555.0,0.01377002
556.0,556.0,0.07937841
557.0,557.0,0.3499593
558.0,558.0,0.2340219
559.0,559.0,0.6502666
560.0,560.0,0.0021209132
561.0,561.0,0.3941016
562.0,562.0,0.41573262
563.0,563.0,0.501714
564.0,564.0,0.4108606
565.0,565.0,0.5807231
566.0,566.0,0.3881979
567.0,567.0,0.12856777
568.0,568.0,0.0062193475
569.0,569.0,0.0010126961
570.0,570.0,0.24813522
571.0,571.0,0.0036825538
572.0,572.0,0.7320583
573.0,573.0,0.47732684
574.0,574.0,0.58289176
575.0,575.0,0.10776011
576.0,576.0,0.55219805
577.0,577.0,0.0040583806
578.0,578.0,0.045734666
579.0,579.0,0.057649177
580.0,580.0,0.24806061
581.0,581.0,0.3995548
582.0,582.0,0.012208206
583.0,583.0,0.0042227725
584.0,584.0,0.50386715
585.0,585.0,0.60297996
586.0,586.0,0.35347047
587.0,587.0,0.09214878
588.0,588.0,0.19100122
589.0,589.0,0.037573114
590.0,590.0,0.33574888
591.0,591.0,0.44913778
592.0,592.0,0.60695827
593.0,593.0,0.009387893
594.0,594.0,0.02022274
595.0,595.0,0.08595339
596.0,596.0,0.541466
597.0,597.0,0.033044346
598.0,598.0,0.72362936
599.0,599.0,0.003002996
600.0,600.0,0.24768566
601.0,601.0,0.27036425
602.0,602.0,0.33195853
603.0,603.0,0.4690618
604.0,604.0,0.53739184
605.0,605.0,0.1011428
606.0,606.0,0.14007922
607.0,607.0,0.056396395
608.0,608.0,0.6997508
609.0,609.0,0.41901544
610.0,610.0,0.033909634
611.0,611.0,0.009483217
612.0,612.0,0.005563805
613.0,613.0,0.5506585
614.0,614.0,0.39304128
615.0,615.0,0.012346869
616.0,616.0,0.0054491214
617.0,617.0,0.20935968
618.0,618.0,0.27734852
619.0,619.0,0.43724293
620.0,620.0,0.06491705
