x,y,raw,cumulative,logistic
2535.0,2535.0,1.25777E-6,0.040995833,0.009033566
2536.0,2536.0,1.67771E-4,58.241528094,0.548726497
2537.0,2537.0,2.74246E-5,3.761642335,0.165808011
2538.0,2538.0,1.49284E-4,49.901523057,0.519683789
2539.0,2539.0,1.82987E-4,64.746940452,0.570120854
2540.0,2540.0,1.69682E-4,59.067775896,0.55152943
2541.0,2541.0,4.07334E-5,6.365402845,0.227932193
2542.0,2542.0,1.66919E-4,57.890168795,0.547466296
2543.0,2543.0,5.33374E-7,0.002850499,0.003850842
2544.0,2544.0,6.42499E-5,11.615554514,0.317715137
2545.0,2545.0,1.0385E-5,0.624321949,0.069998635
2546.0,2546.0,1.2269E-4,36.526804549,0.470680368
2547.0,2547.0,1.19075E-4,34.795471748,0.463236543
2548.0,2548.0,4.7317E-5,7.621659737,0.255364239
2549.0,2549.0,1.41922E-5,1.06538045,0.093267013
2550.0,2550.0,7.0701E-5,13.573146686,0.33880744
2551.0,2551.0,1.90389E-5,1.843959669,0.121256292
2552.0,2552.0,6.12667E-5,10.794945046,0.307499344
2553.0,2553.0,9.54161E-5,22.934997215,0.408824841
2554.0,2554.0,1.25018E-6,0.039615905,0.008979527
2555.0,2555.0,2.84105E-4,88.952770366,0.673106786
2556.0,2556.0,9.28442E-5,21.825177488,0.402237582
2557.0,2557.0,4.02085E-6,0.194241293,0.028316671
2558.0,2558.0,4.79467E-5,7.745480822,0.257886609
2559.0,2559.0,7.70815E-5,15.54229413,0.358424345
2560.0,2560.0,1.6333E-5,1.371771614,0.105846736
2561.0,2561.0,1.01641E-5,0.603767305,0.068611653
2562.0,2562.0,1.87978E-5,1.800461979,0.119904456
2563.0,2563.0,9.93122E-6,0.577612588,0.067145347
2564.0,2564.0,5.75103E-7,0.003963327,0.004150864
2565.0,2565.0,1.51271E-4,50.713519599,0.522983632
2566.0,2566.0,2.43647E-4,81.500283003,0.63845089
2567.0,2567.0,7.51754E-5,14.994423187,0.352686931
2568.0,2568.0,1.34035E-4,42.297976224,0.492757772
2569.0,2569.0,1.0899E-4,29.475096121,0.441316464
2570.0,2570.0,1.5498E-6,0.057864909,0.011107698
2571.0,2571.0,4.56245E-5,7.286422255,0.248500029
2572.0,2572.0,8.63897E-5,18.905910835,0.385041407
2573.0,2573.0,2.5251E-5,3.221790108,0.154699507
2574.0,2574.0,8.46842E-7,0.014959716,0.006100205
2575.0,2575.0,4.19551E-5,6.621854211,0.233174472
2576.0,2576.0,3.89924E-5,6.038103361,0.2203364
2577.0,2577.0,7.34713E-5,14.503753027,0.347470296
2578.0,2578.0,6.68135E-5,12.383832809,0.32625619
2579.0,2579.0,5.82179E-5,10.005404586,0.296738012
2580.0,2580.0,5.24508E-6,0.271256979,0.036622523
2581.0,2581.0,4.74548E-5,7.650108074,0.255917877
2582.0,2582.0,1.71006E-4,59.442852201,0.553452063
2583.0,2583.0,9.2684E-5,21.676746441,0.401822556
2584.0,2584.0,1.58387E-5,1.297769913,0.102973127
2585.0,2585.0,4.51306E-5,7.209252622,0.246473172
2586.0,2586.0,1.00722E-5,0.59162981,0.068033946
2587.0,2587.0,7.14788E-5,13.829173018,0.341262813
2588.0,2588.0,2.43705E-4,81.524653507,0.638506034
2589.0,2589.0,7.45953E-7,0.009940494,0.00537736
2590.0,2590.0,1.58846E-5,1.30887815,0.103240816
2591.0,2591.0,2.33375E-5,2.799479637,0.144672315
2592.0,2592.0,2.4737E-5,3.114301095,0.152029414
2593.0,2593.0,2.64462E-5,3.52144498,0.160844249
2594.0,2594.0,9.37162E-5,22.272915715,0.404487497
2595.0,2595.0,5.13028E-5,8.507650797,0.271044797
2596.0,2596.0,1.10738E-4,30.309537706,0.44524401
2597.0,2597.0,1.62783E-4,56.160076089,0.541241883
2598.0,2598.0,5.67861E-8,0.000005679,0.000411399
2599.0,2599.0,7.04313E-5,13.460182998,0.337951779
2600.0,2600.0,1.16125E-6,0.033820315,0.008346131
2601.0,2601.0,9.43056E-5,22.470319097,0.405998647
2602.0,2602.0,8.52684E-5,18.579516138,0.381952464
2603.0,2603.0,2.50938E-5,3.18654601,0.153884608
2604.0,2604.0,1.05374E-5,0.643154679,0.070953259
2605.0,2605.0,6.52594E-5,11.881179247,0.321104046
2606.0,2606.0,2.75217E-5,3.797351447,0.16629774
2607.0,2607.0,1.0874E-4,29.38797306,0.440750775
2608.0,2608.0,6.15503E-5,10.856393253,0.308483448
2609.0,2609.0,9.0524E-5,20.816282782,0.396167861
2610.0,2610.0,1.84166E-5,1.735299567,0.117759539
